,Source Zipcode,NAICS Code Description,Counts
307,94116,Certain Services,79
308,94116,Construction,412
309,94116,Financial Services,61
310,94116,Food Services,155
311,94116,Information,34
312,94116,Insurance,20
313,94116,Manufacturing,20
314,94116,Multiple,83
315,94116,Private Education and Health Services,177
316,94116,"Professional, Scientific, and Technical Services",332
317,94116,Real Estate and Rental and Leasing Services,392
318,94116,Retail Trade,180
319,94116,Transportation and Warehousing,101
320,94116,Utilities,4
321,94116,Wholesale Trade,90
322,94117,Accommodations,420
323,94117,Administrative and Support Services,51
324,94117,"Arts, Entertainment, and Recreation",283
325,94117,Certain Services,86
326,94117,Construction,145
327,94117,Financial Services,26
328,94117,Food Services,332
329,94117,Information,77
330,94117,Insurance,6
331,94117,Manufacturing,40
332,94117,Multiple,138
333,94117,Private Education and Health Services,185
334,94117,"Professional, Scientific, and Technical Services",541
335,94117,Real Estate and Rental and Leasing Services,1386
336,94117,Retail Trade,473
337,94117,Transportation and Warehousing,30
338,94117,Utilities,1
339,94117,Wholesale Trade,42
340,94118,Accommodations,181
341,94118,Administrative and Support Services,81
342,94118,"Arts, Entertainment, and Recreation",201
343,94118,Certain Services,109
344,94118,Construction,215
345,94118,Financial Services,67
346,94118,Food Services,325
347,94118,Information,46
348,94118,Insurance,28
349,94118,Manufacturing,36
350,94118,Multiple,122
351,94118,Private Education and Health Services,559
352,94118,"Professional, Scientific, and Technical Services",702
353,94118,Real Estate and Rental and Leasing Services,1330
354,94118,Retail Trade,438
355,94118,Transportation and Warehousing,82
356,94118,Utilities,6
357,94118,Wholesale Trade,66
358,94119,Administrative and Support Services,1
359,94119,"Arts, Entertainment, and Recreation",1
360,94119,Construction,2
361,94119,Food Services,3
362,94119,"Professional, Scientific, and Technical Services",1
363,94119,Real Estate and Rental and Leasing Services,3
364,94119,Retail Trade,3
365,94120,Certain Services,1
366,94120,Construction,1
367,94120,Financial Services,2
368,94120,Food Services,1
369,94120,Private Education and Health Services,1
370,94120,"Professional, Scientific, and Technical Services",2
371,94120,Real Estate and Rental and Leasing Services,1
372,94120,Retail Trade,4
373,94120,Wholesale Trade,1
374,94121,Accommodations,189
375,94121,Administrative and Support Services,52
376,94121,"Arts, Entertainment, and Recreation",205
377,94121,Certain Services,93
378,94121,Construction,323
379,94121,Financial Services,41
380,94121,Food Services,226
381,94121,Information,33
